season_score,d13C,d13C.lower,d13C.upper,d13C_sd,d18O,d18O.lower,d18O.upper,d18O_sd,D47,D47.lower,D47.upper,D47_sd,T_mean,temp.lower,temp.upper,T_sd,d18Ow,d18Ow.lower,d18Ow.upper,d18Ow_sd,Specimen,Species,N,method,season2,season
3,1.439720499,0.827520096,1.48405094,0.547859185,0.460095825,0.326808541,0.528635709,0.168419913,0.608130928,0.598023949,0.62034348,0.018625111,21.64,18.51201574,24.46860574,4.970630963,0.88397865,0.14936785,1.514386931,1.139075563,SG113,Ostrea edulis,13,strict,summer,2
4,1.026346112,0.539575746,1.477988827,0.575504825,0.895986643,0.749901583,0.995862435,0.150841522,0.639608989,0.628155324,0.659908718,0.019473547,12.29,6.881507919,15.60390553,5.349224145,-0.867345547,-2.099673214,0.032422369,1.30755988,SG115,Pecten complanatus,8,strict,winter,0
2,0.55963575,0.505930375,0.66304208,0.210681059,0.159440161,-0.058651315,0.337814602,0.531646317,0.627278792,0.606229714,0.633244251,0.036225508,16.18,13.96129437,22.43546702,11.36355608,-0.634117113,-1.216336303,0.751432171,2.638705668,SG115,Pecten complanatus,30,strict,spring,1
3,0.461129276,0.444566876,0.502856302,0.054992481,0.685456227,0.234369606,0.867678528,0.597487937,0.621435818,0.604226807,0.629808565,0.024134812,17.79,15.29126111,23.68907063,7.922815725,0.146607767,-0.461247169,1.57577615,1.92180596,SG115,Pecten complanatus,16,strict,autumn,3
1,1.544376292,1.50838404,1.555220783,0.062806362,0.299095638,0.216315838,0.463990859,0.332123159,0.616441418,0.607257627,0.618004214,0.014410781,19.31,18.67574528,22.42443274,5.026852995,0.222517401,0.030326981,0.963366131,1.251171429,SG115,Pecten complanatus,30,strict,summer,2
4,2.173387394,2.08313984,2.215312958,0.209532985,1.272483194,1.199832651,1.284832478,0.134749545,0.630285689,0.615699937,0.636953646,0.033693335,15.13,12.88795524,19.39430852,10.31446972,0.211727854,-0.319309367,1.182609147,2.380979386,SG116,Glycymeris radiolyrata,41,strict,autumn,3
2,2.092702684,2.062174526,2.111232622,0.064585885,1.367313438,1.221640017,1.419993595,0.26113613,0.621907218,0.611329651,0.630019854,0.024605996,17.88,14.9455759,20.83761181,7.756973538,0.970529261,0.25908291,1.605729436,1.772884895,SG116,Glycymeris radiolyrata,29,strict,summer,2
3,2.18040139,2.135130535,2.219954785,0.127323978,1.064157241,1.001947286,1.075864238,0.110951766,0.646410562,0.636438095,0.656421553,0.029995825,10.35,7.57864343,13.29175059,8.575561009,-1.100094851,-1.738857551,-0.42871698,1.966563917,SG116,Glycymeris radiolyrata,37,strict,winter,0
1,2.048592477,2.030853154,2.089693706,0.069833533,1.917482121,1.787051304,2.021066955,0.277736003,0.624570861,0.616196256,0.644942368,0.034116651,16.76,11.04724266,19.45568612,9.979364486,1.227590237,-0.064152322,1.882554961,2.310404014,SG116,Glycymeris radiolyrata,24,strict,spring,1
4,0.646382119,0.467677246,0.738171474,0.305884292,1.645597047,1.575534237,1.81200007,0.267403798,0.678330968,0.647791664,0.685565518,0.042715989,1.86,-0.215507913,9.68859461,11.19990401,-2.415085518,-2.934182152,-0.690861979,2.536824567,SG126,Angulus benedeni,22,strict,autumn,3
2,0.680051467,0.3856199,0.936440701,0.556168838,1.445542455,1.204225845,1.576137468,0.375522593,0.656853087,0.650427108,0.662470315,0.012160137,7.33,5.723494768,9.35582505,3.667597357,-1.481886434,-1.866179118,-0.918052291,0.957332394,SG126,Angulus benedeni,18,strict,spring,1
3,0.670904585,0.653889123,0.671955045,0.011979222,0.907286841,0.866847628,0.935082282,0.045245301,0.64625008,0.630695218,0.646279873,0.010333934,10.58,9.78131164,15.39067939,3.719481459,-1.204608612,-1.406086503,-0.092426969,0.871066491,SG126,Angulus benedeni,9,strict,summer,2
1,0.781178701,0.559542561,0.85075989,0.294044821,1.960714282,1.636913643,2.249486443,0.618520401,0.662318628,0.652931372,0.673974274,0.021247212,5.85,2.571277314,8.559978531,6.046846803,-1.2492928,-2.206084235,-0.470166068,1.752772569,SG126,Angulus benedeni,18,strict,autumn,3
2,0.527362101,0.435329969,0.552864781,0.098079971,1.113932506,1.061344499,2.271666885,1.009984895,0.629057962,0.608889449,0.640163814,0.026097705,15.5,12.50311712,21.01733738,7.104911846,0.475114519,-0.248417711,1.577988893,1.524092344,SG127,Angulus benedeni,13,strict,summer,2
3,0.562565709,0.430064866,0.642674852,0.274610031,1.074293049,1.058420984,1.117035525,0.075707361,0.65236139,0.645378302,0.65417535,0.01136239,8.76,7.90354417,10.77662034,3.710905361,-1.439395699,-1.652688192,-0.966670339,0.886070253,SG127,Angulus benedeni,28,strict,spring,1
