season_score,d13C,d13C.lower,d13C.upper,d18O,d18O.lower,d18O.upper,D47,D47.lower,D47.upper,temp,temp.lower,temp.upper,d18Ow,d18Ow.lower,d18Ow.upper,.width,.point,.interval,Specimen,Species,N,method,season,season2
3,1.439720499,0.827520096,1.48405094,0.460095825,0.326808541,0.528635709,0.608130928,0.598023949,0.62034348,21.64,18.51201574,24.46860574,0.88397865,0.14936785,1.514386931,0.68,median,qi,SG113,Ostrea edulis,13,strict,summer,summer
4,1.026346112,0.539575746,1.477988827,0.895986643,0.749901583,0.995862435,0.639608989,0.628155324,0.659908718,12.29,6.881507919,15.60390553,-0.867345547,-2.099673214,0.032422369,0.68,median,qi,SG115,Pecten complanatus,8,strict,autumn,winter
2,0.55963575,0.505930375,0.66304208,0.159440161,-0.058651315,0.337814602,0.627278792,0.606229714,0.633244251,16.18,13.96129437,22.43546702,-0.634117113,-1.216336303,0.751432171,0.68,median,qi,SG115,Pecten complanatus,30,strict,spring,spring
3,0.461129276,0.444566876,0.502856302,0.685456227,0.234369606,0.867678528,0.621435818,0.604226807,0.629808565,17.79,15.29126111,23.68907063,0.146607767,-0.461247169,1.57577615,0.68,median,qi,SG115,Pecten complanatus,16,strict,summer,autumn
1,1.544376292,1.50838404,1.555220783,0.299095638,0.216315838,0.463990859,0.616441418,0.607257627,0.618004214,19.31,18.67574528,22.42443274,0.222517401,0.030326981,0.963366131,0.68,median,qi,SG115,Pecten complanatus,30,strict,winter,summer
4,2.173387394,2.08313984,2.215312958,1.272483194,1.199832651,1.284832478,0.630285689,0.615699937,0.636953646,15.13,12.88795524,19.39430852,0.211727854,-0.319309367,1.182609147,0.68,median,qi,SG116,Glycymeris radiolyrata,41,strict,autumn,autumn
2,2.092702684,2.062174526,2.111232622,1.367313438,1.221640017,1.419993595,0.621907218,0.611329651,0.630019854,17.88,14.9455759,20.83761181,0.970529261,0.25908291,1.605729436,0.68,median,qi,SG116,Glycymeris radiolyrata,29,strict,spring,summer
3,2.18040139,2.135130535,2.219954785,1.064157241,1.001947286,1.075864238,0.646410562,0.636438095,0.656421553,10.35,7.57864343,13.29175059,-1.100094851,-1.738857551,-0.42871698,0.68,median,qi,SG116,Glycymeris radiolyrata,37,strict,summer,winter
1,2.048592477,2.030853154,2.089693706,1.917482121,1.787051304,2.021066955,0.624570861,0.616196256,0.644942368,16.76,11.04724266,19.45568612,1.227590237,-0.064152322,1.882554961,0.68,median,qi,SG116,Glycymeris radiolyrata,24,strict,winter,spring
4,0.646382119,0.467677246,0.738171474,1.645597047,1.575534237,1.81200007,0.678330968,0.647791664,0.685565518,1.86,-0.215507913,9.68859461,-2.415085518,-2.934182152,-0.690861979,0.68,median,qi,SG126,Angulus benedeni,22,strict,autumn,autumn
2,0.680051467,0.3856199,0.936440701,1.445542455,1.204225845,1.576137468,0.656853087,0.650427108,0.662470315,7.33,5.723494768,9.35582505,-1.481886434,-1.866179118,-0.918052291,0.68,median,qi,SG126,Angulus benedeni,18,strict,spring,spring
3,0.670904585,0.653889123,0.671955045,0.907286841,0.866847628,0.935082282,0.64625008,0.630695218,0.646279873,10.58,9.78131164,15.39067939,-1.204608612,-1.406086503,-0.092426969,0.68,median,qi,SG126,Angulus benedeni,9,strict,summer,summer
1,0.781178701,0.559542561,0.85075989,1.960714282,1.636913643,2.249486443,0.662318628,0.652931372,0.673974274,5.85,2.571277314,8.559978531,-1.2492928,-2.206084235,-0.470166068,0.68,median,qi,SG126,Angulus benedeni,18,strict,winter,autumn
2,0.527362101,0.435329969,0.552864781,1.113932506,1.061344499,2.271666885,0.629057962,0.608889449,0.640163814,15.50,12.50311712,21.01733738,0.475114519,-0.248417711,1.577988893,0.68,median,qi,SG127,Angulus benedeni,13,strict,spring,summer
3,0.562565709,0.430064866,0.642674852,1.074293049,1.058420984,1.117035525,0.65236139,0.645378302,0.65417535,8.76,7.90354417,10.77662034,-1.439395699,-1.652688192,-0.966670339,0.68,median,qi,SG127,Angulus benedeni,28,strict,summer,spring
