"month_score","d13C","d13C.lower","d13C.upper","d18O","d18O.lower","d18O.upper","D47","D47.lower","D47.upper","temp","temp.lower","temp.upper","d18Ow","d18Ow.lower","d18Ow.upper",".width",".point",".interval","Specimen","Species","N","method","month"
2,1.364740935,1.257226796,1.510061673,2.485840429,2.262019911,2.875607126,0.640105255,0.619559411,0.666909809,12.1424528660553,4.71441216627583,18.2260608520382,0.742171625011886,-0.922925197748703,2.0916162932335,0.95,"median","qi","SG105","Pygocardia rustica",17,"strict","February"
3,1.08055237,0.470152051,1.348648956,1.750626973,1.594673404,1.797462888,0.680619557,0.610050041,0.712513835,1.01394234007469,-7.7642384266333,21.8031377882853,-2.55864445204171,-4.63065643121711,2.23032636982665,0.95,"median","qi","SG105","Pygocardia rustica",7,"strict","March"
4,1.495520335,0.646603351,1.598721644,1.758244822,1.402844408,2.53568413,0.6660309865,0.656710057,0.683626791,4.77050789407144,-0.096636732947345,7.68119043794557,-1.46782846839401,-2.78907952917387,-0.513429644214765,0.95,"median","qi","SG105","Pygocardia rustica",4,"strict","April"
5,1.294469791,1.044497231,1.297739401,1.288025754,1.190072966,1.38576458,0.683408502,0.642099927,0.724717077,0.284044954714176,-11.1480231359726,12.0456824348711,-3.19306987855434,-5.90136724043744,-0.398151536937694,0.95,"median","qi","SG105","Pygocardia rustica",2,"strict","May"
6,0.961621932,0.961621932,0.961621932,2.655242828,2.655242828,2.655242828,0.605655581,0.605655581,0.605655581,22.7568170171606,21.9131921392478,23.7866793446033,3.35220527435037,3.15782166192807,3.58950074150307,0.95,"median","qi","SG105","Pygocardia rustica",1,"strict","June"
7,0.6587518545,0.406793036,1.668704318,1.8249136785,1.155991492,2.102701468,0.6390235955,0.606401366,0.679200615,12.4261352328289,1.39148640423483,22.5213478112286,0.133831031386948,-2.12322332365096,1.79869836094669,0.95,"median","qi","SG105","Pygocardia rustica",4,"strict","July"
8,0.545149278,0.279586859,1.395280781,2.223070029,1.769153242,2.609396085,0.581460768,0.546225513,0.619720778,30.9546625938249,17.8546644227251,46.2855056878633,4.56320643506027,2.17683028378458,8.34138931191782,0.95,"median","qi","SG105","Pygocardia rustica",3,"strict","August"
9,1.1631857545,1.013165866,1.313205643,2.623732067,2.357267394,2.89019674,0.6100818545,0.606889708,0.613274001,21.3257331307208,19.8270159993961,23.005938288104,2.99034233683541,2.37918287130561,3.64367301502563,0.95,"median","qi","SG105","Pygocardia rustica",2,"strict","September"
10,1.236983495,0.881374885,1.724685085,2.2430692065,2.0481162655,2.4713504,0.6490793965,0.634668936,0.6950179965,9.49952613026187,-2.34670156440486,13.8138078830448,-0.0773866569673897,-2.65705558988924,0.7784044297068,0.95,"median","qi","SG105","Pygocardia rustica",6,"strict","October"
11,1.220200007,0.6871145415,1.376665552,2.4081503075,2.06663213,2.611411602,0.649716385,0.641188987,0.659456668,9.37678376451692,6.22668654312258,12.2520069640586,0.032090015759998,-0.795564776877289,0.664062375103909,0.95,"median","qi","SG105","Pygocardia rustica",13,"strict","November"
12,1.328799211,1.240920272,1.485639689,2.513971383,2.279905771,2.609076978,0.654673994,0.637945718,0.663118008,7.77016638244638,5.28312922864126,12.9488035990211,-0.278686649229064,-0.931865052965757,0.968159968709862,0.95,"median","qi","SG105","Pygocardia rustica",19,"strict","December"
3,1.3285271205,1.2634275365,1.377625916,2.6302465675,2.6102243235,2.646542882,0.635876528,0.631072486,0.64374871,13.3406615100724,10.6183572528183,15.025102146071,1.16461723946199,0.535607712100315,1.54176269124338,0.68,"median","qi","SG107","Arctica islandica",7,"strict","March"
4,1.291542568,1.274036523,1.415950693,2.312912616,2.204317998,2.322940463,0.6478918035,0.620845117,0.664439555,9.98748926507679,6.04144796835478,17.6978179059708,0.0616861240720601,-0.789778101087493,1.74701234233781,0.68,"median","qi","SG107","Arctica islandica",6,"strict","April"
5,1.459239675,1.393437448,1.499437415,2.229157969,2.156130341,2.320217644,0.6343980485,0.622102197,0.647657036,13.7662210016977,9.85903633248151,17.5115454431729,0.861971936960275,-0.0376251623410014,1.7396520930669,0.68,"median","qi","SG107","Arctica islandica",10,"strict","May"
6,1.1965063335,1.146554333,1.243654732,1.7850614475,1.626789322,1.955575333,0.610336665,0.60443442,0.6310153855,21.1605236635225,14.5936995049031,23.3031879033563,2.0589701813582,0.633121998921349,2.5837322181426,0.68,"median","qi","SG107","Arctica islandica",11,"strict","June"
7,1.021423459,0.775284996,1.267561922,1.125153421,0.867959917,1.382346925,0.683481111,0.678531737,0.688430485,0.291619485582487,-0.857005806084098,1.43022482651014,-3.35464351449551,-3.84852287486992,-2.85056027328523,0.68,"median","qi","SG107","Arctica islandica",2,"strict","July"
8,1.209375003,0.579776229,1.223192288,1.509253741,1.462868008,1.513983152,0.554100268,0.545905159,0.562295377,41.1092764809912,37.7216958797582,44.6874717212055,6.43173816223463,5.65774370033889,7.22856736281224,0.68,"median","qi","SG107","Arctica islandica",2,"strict","August"
9,1.410714026,1.410714026,1.410714026,1.856883416,1.856883416,1.856883416,0.620332664,0.620332664,0.620332664,18.094722326738,17.7661905999668,18.45266143192,1.47963049589354,1.40393194133796,1.56210494409217,0.68,"median","qi","SG107","Arctica islandica",1,"strict","September"
10,1.272342432,1.22357797,1.2849390435,1.6758923905,1.401380524,1.810007415,0.6542982055,0.63218865,0.6786006065,8.0678590110019,1.88185470958744,14.1869872452685,-1.00826449058608,-2.34916661507431,0.167409583664598,0.68,"median","qi","SG107","Arctica islandica",4,"strict","October"
11,1.081060898,0.935810959,1.118964421,2.167376054,1.820147042,2.502748548,0.660332415,0.650933069,0.662446973,6.46634297098791,5.81973286070122,8.93439928996343,-0.77862167700059,-0.942767979014881,-0.619693513627862,0.68,"median","qi","SG107","Arctica islandica",3,"strict","November"
12,1.162265129,1.132198586,1.361571979,1.94244519,1.871046452,2.23400715,0.617915579,0.617915579,0.617915579,18.8467790430283,18.5021301225107,19.2244170377769,1.79590544831851,1.66357749322346,2.04551957792796,0.68,"median","qi","SG107","Arctica islandica",1,"strict","December"
1,1.282885669,1.271417695,1.362302708,2.631940352,2.432906504,2.806828643,0.628286721,0.618484064,0.638089378,15.6514391068869,12.6777389664614,18.7438182632606,1.69171894805688,0.838430092126186,2.45655608351877,0.68,"median","qi","SG107","Arctica islandica",2,"strict","January"
2,1.336023552,1.244051856,1.37456714,2.7080546835,2.623028304,2.8593171935,0.661338045,0.632666005,0.695750504,6.09387318312832,-1.86413305824639,13.9183410704044,-0.435645410719178,-2.16519390939733,1.30685251334222,0.68,"median","qi","SG107","Arctica islandica",4,"strict","February"
3,1.3285271205,1.203372423,1.421680241,2.6302465675,2.598420944,2.754188144,0.635876528,0.628021398,0.66029288,13.3406615100724,6.05098121481229,16.2360691779602,1.16461723946199,-0.524205406746781,1.86827138062068,0.95,"median","qi","SG107","Arctica islandica",7,"strict","March"
4,1.291542568,1.185291296,1.42327952,2.312912616,2.200793118,2.484915898,0.6478918035,0.603053824,0.68217687,9.98748926507679,0.69478638277523,23.6351143963105,0.0616861240720601,-2.18213675251262,3.10012823235726,0.95,"median","qi","SG107","Arctica islandica",6,"strict","April"
5,1.459239675,1.134599692,1.506334329,2.229157969,2.153677385,2.332734138,0.6343980485,0.622040447,0.670371913,13.7662210016977,2.99410893124796,18.5146597526237,0.861971936960275,-1.63421787100038,1.96302634185727,0.95,"median","qi","SG107","Arctica islandica",10,"strict","May"
6,1.1965063335,1.0335714975,1.329692961,1.7850614475,1.4592265045,2.066730297,0.610336665,0.596685782,0.661085274,21.1605236635225,6.22212453981486,25.8770431270201,2.0589701813582,-1.18207528426541,3.23534658642773,0.95,"median","qi","SG107","Arctica islandica",11,"strict","June"
7,1.021423459,0.775284996,1.267561922,1.125153421,0.867959917,1.382346925,0.683481111,0.678531737,0.688430485,0.291619485582487,-1.81576942649,2.26617948821372,-3.35464351449551,-4.09584132361942,-2.64240971970606,0.95,"median","qi","SG107","Arctica islandica",2,"strict","July"
8,1.209375003,0.579776229,1.223192288,1.509253741,1.462868008,1.513983152,0.554100268,0.545905159,0.562295377,41.1092764809912,36.3466655208748,46.7807993858651,6.43173816223463,5.34049556075973,7.70980336943431,0.95,"median","qi","SG107","Arctica islandica",2,"strict","August"
9,1.410714026,1.410714026,1.410714026,1.856883416,1.856883416,1.856883416,0.620332664,0.620332664,0.620332664,18.094722326738,17.4711317094052,18.8224849280454,1.47963049589354,1.33594602185373,1.64731773121785,0.95,"median","qi","SG107","Arctica islandica",1,"strict","September"
10,1.272342432,1.186519538,1.285829625,1.6758923905,1.243432138,1.827558959,0.6542982055,0.612185591,0.700796511,8.0678590110019,-4.05638176078752,20.6605678519807,-1.00826449058608,-3.65363499509851,1.45738786426284,0.95,"median","qi","SG107","Arctica islandica",4,"strict","October"
11,1.081060898,0.935810959,1.118964421,2.167376054,1.820147042,2.502748548,0.660332415,0.650933069,0.662446973,6.46634297098791,5.2461123119877,9.49526300736521,-0.77862167700059,-1.06303842504465,-0.519413337570034,0.95,"median","qi","SG107","Arctica islandica",3,"strict","November"
12,1.162265129,1.132198586,1.361571979,1.94244519,1.871046452,2.23400715,0.617915579,0.617915579,0.617915579,18.8467790430283,18.1984268377845,19.6189793512534,1.79590544831851,1.5737231757075,2.16665138830894,0.95,"median","qi","SG107","Arctica islandica",1,"strict","December"
1,1.282885669,1.271417695,1.362302708,2.631940352,2.432906504,2.806828643,0.628286721,0.618484064,0.638089378,15.6514391068869,12.2821384913832,19.2502854316777,1.69171894805688,0.729880270401133,2.63325601353726,0.95,"median","qi","SG107","Arctica islandica",2,"strict","January"
2,1.336023552,1.181246871,1.383944017,2.7080546835,2.575973533,2.972608095,0.661338045,0.627465139,0.706691789,6.09387318312832,-5.50702297215965,15.91006497574,-0.435645410719178,-2.84659885037453,1.69534334307834,0.95,"median","qi","SG107","Arctica islandica",4,"strict","February"
2,1.167132483,1.148593774,1.27089796,0.55650312,0.535193457,0.590951278,0.692580242,0.595331651,0.823712712,-2.03196250087518,-29.4848190961415,25.9882454879011,-4.46955002173492,-10.7493296197285,1.99803433841038,0.68,"median","qi","SG113","Ostrea edulis",3,"strict","February"
3,0.826650564,0.772368871,0.88252188,0.8654277085,0.755708547,0.879068213,0.616715516,0.6049150465,0.6398225665,19.1220767694903,11.9301263553617,23.6535046005789,0.713918655601378,-0.990385288081846,1.74280121340802,0.68,"median","qi","SG113","Ostrea edulis",6,"strict","March"
4,1.13836063,1.137494027,2.277924957,0.92670553,0.855135976,1.066996737,0.6602578125,0.6291298085,0.662018051,6.61564445703715,5.7105744747258,15.4693901465917,-2.04672417572495,-2.30658404340091,-0.06555034647639,0.68,"median","qi","SG113","Ostrea edulis",18,"strict","April"
5,0.908194416,0.900558172,0.925004775,0.626019576,0.610982586,0.651575827,0.603857291,0.577474113,0.649834023,23.3504672842458,9.46632739180889,32.1253827536866,1.45132532748893,-1.73934277611777,3.50719397301074,0.68,"median","qi","SG113","Ostrea edulis",3,"strict","May"
6,0.815886908,0.8111264545,0.827520096,0.460095825,0.3880111475,0.502544879,0.62034348,0.608130928,0.807989744,18.0024852180317,-25.4665389944751,21.4799664730981,0.017227471672397,-9.96631084194343,0.902480289070721,0.68,"median","qi","SG113","Ostrea edulis",3,"strict","June"
7,1.7173559835,0.7918468225,2.6505019805,0.7483420865,0.6324496265,0.809090713,0.611342592,0.602987742,0.623180085,20.9531481622049,17.8621511740881,24.0113772527937,1.02830709397461,0.211002955452406,1.75348956861179,0.68,"median","qi","SG113","Ostrea edulis",6,"strict","July"
8,1.48405094,1.4606253185,1.9292329245,0.1844027245,0.1088895785,0.276894973,0.566160981,0.539233364,0.6411823355,36.4374131637634,11.7017005500559,47.1603189848948,4.03316852537535,-1.71040524607604,6.52696050553974,0.68,"median","qi","SG113","Ostrea edulis",4,"strict","August"
9,1.286464628,1.277941172,1.293034093,0.03448962,-0.008767203,0.037197092,0.632241674,0.631347988,0.642044307,14.4056738149564,11.5047062944151,14.9111214686865,-1.20723589385812,-1.85849270191358,-1.10066836368558,0.68,"median","qi","SG113","Ostrea edulis",5,"strict","September"
10,1.374497232,1.349288782,1.409754922,0.626103247,0.603100915,0.686140782,0.648305416,0.636207644,0.66833359,9.73742082978356,4.14821721083776,13.6832760771818,-1.66903805262127,-2.94107600760337,-0.759540130237864,0.68,"median","qi","SG113","Ostrea edulis",21,"strict","October"
11,0.807314243,0.800598514,0.825128633,0.524256184,0.518807853,0.566848198,0.640264856,0.53410238,0.66154537,12.1044050684395,6.22592758549242,48.6935977852885,-1.23621853136849,-2.54515005419069,7.19743539720011,0.68,"median","qi","SG113","Ostrea edulis",3,"strict","November"
1,1.1957611325,1.115815741,1.275706524,1.2033994975,1.150474549,1.256324446,0.645241589,0.645241589,0.645241589,10.6673874334201,10.3367110704325,10.9892032289391,-0.902705514002238,-0.982671657805437,-0.824255187900898,0.68,"median","qi","SG113","Ostrea edulis",1,"strict","January"
2,1.167132483,1.148593774,1.27089796,0.55650312,0.535193457,0.590951278,0.692580242,0.595331651,0.823712712,-2.03196250087518,-31.8020449137375,27.0242724313512,-4.46955002173492,-11.2832526191745,2.23675022399796,0.95,"median","qi","SG113","Ostrea edulis",3,"strict","February"
3,0.826650564,0.756161319,1.197899907,0.8654277085,0.645895831,0.893024973,0.616715516,0.593840869,0.6581118025,19.1220767694903,6.80292504797395,26.6804370807163,0.713918655601378,-2.22264387470044,2.40948290900922,0.95,"median","qi","SG113","Ostrea edulis",6,"strict","March"
4,1.13836063,1.064145892,2.347046229,0.92670553,0.677306568,1.195237274,0.6602578125,0.60382037,0.6715492,6.61564445703715,3.42460436018942,23.6467572981276,-2.04672417572495,-2.79599595453833,1.87002118755823,0.95,"median","qi","SG113","Ostrea edulis",18,"strict","April"
5,0.908194416,0.900558172,0.925004775,0.626019576,0.610982586,0.651575827,0.603857291,0.577474113,0.649834023,23.3504672842458,8.89247252898567,33.6065268535028,1.45132532748893,-1.87156739888809,3.8484714153647,0.95,"median","qi","SG113","Ostrea edulis",3,"strict","May"
6,0.815886908,0.809748903,0.835770382,0.460095825,0.353980763,0.50693964,0.62034348,0.608130928,0.807989744,18.0024852180317,-28.4949632005024,22.4851818459201,0.017227471672397,-10.6695120515719,1.1338241890356,0.95,"median","qi","SG113","Ostrea edulis",3,"strict","June"
7,1.7173559835,0.785465574,2.664520065,0.7483420865,0.550331778,0.836064728,0.611342592,0.597971155,0.6551948245,20.9531481622049,7.82490980967148,25.838233528516,1.02830709397461,-2.14216129220884,2.18125698495414,0.95,"median","qi","SG113","Ostrea edulis",6,"strict","July"
8,1.48405094,1.4397204985,2.3781798875,0.1844027245,0.062657229,0.2986781675,0.566160981,0.50736227,0.721147167,36.4374131637634,-9.44341561862561,62.6651405515847,4.03316852537535,-6.53463134768214,10.1096595391441,0.95,"median","qi","SG113","Ostrea edulis",4,"strict","August"
9,1.286464628,1.19754375,1.35301361,0.03448962,-0.115362856,0.065527923,0.632241674,0.623926841,0.665243224,14.4056738149564,5.01109300703498,17.0314051907541,-1.20723589385812,-3.32638613067858,-0.737619724489831,0.95,"median","qi","SG113","Ostrea edulis",5,"strict","September"
10,1.374497232,1.255700276,1.583005961,0.626103247,0.572613939,0.751502901,0.648305416,0.614337652,0.673046042,9.73742082978356,2.79169631177139,20.2626280975737,-1.66903805262127,-3.26212770183222,0.76789482030989,0.95,"median","qi","SG113","Ostrea edulis",21,"strict","October"
11,0.807314243,0.800598514,0.825128633,0.524256184,0.518807853,0.566848198,0.640264856,0.53410238,0.66154537,12.1044050684395,5.52349301027311,51.6370180693457,-1.23621853136849,-2.70700133880343,7.87564283592296,0.95,"median","qi","SG113","Ostrea edulis",3,"strict","November"
1,1.1957611325,1.115815741,1.275706524,1.2033994975,1.150474549,1.256324446,0.645241589,0.645241589,0.645241589,10.6673874334201,10.0054438071372,11.2958408413262,-0.902705514002238,-1.06478461782816,-0.750453656816884,0.95,"median","qi","SG113","Ostrea edulis",1,"strict","January"
1,1.3933650625,1.213105451,1.512611618,0.237687918,-0.0073424,1.896584528,0.625711237,0.6188098405,0.633570459,16.495132253517,14.3391256409302,18.5124454845407,-0.336553352053036,-0.885311458752107,1.04985940386203,0.68,"median","qi","SG115","Pecten complanatus",9,"strict","January"
2,0.6472881755,0.4502682695,0.9578432985,0.9328533235,0.255028599,1.484402708,0.633986404,0.618004214,0.670438793,13.901241949464,3.57954125053649,18.9606404516177,-0.357787880391994,-2.68674015551815,0.582306500568954,0.68,"median","qi","SG115","Pecten complanatus",5,"strict","February"
3,0.703210829,0.557918659,0.742966184,0.282116274,-0.058651315,0.968072578,0.6197369825,0.601292956,0.638199878,18.262470659759,13.0907335923608,23.7313417023745,-0.0251849383478118,-0.998232877346497,1.10696084998787,0.68,"median","qi","SG115","Pecten complanatus",6,"strict","March"
4,0.55963575,0.47449787,0.571172545,-0.129329287,-0.172271813,0.097656631,0.632713281,0.605590414,0.642171205,14.5843919003786,11.7289193730931,22.4815617023906,-1.23590621583438,-1.82189231518471,0.488354519217564,0.68,"median","qi","SG115","Pecten complanatus",17,"strict","April"
5,0.546734083,0.523173885,0.783531474,0.337814602,0.321372108,0.371183326,0.622890321,0.610284753,0.628148125,17.307545513529,15.4731487870396,21.6062204224758,-0.224530666194721,-0.616671835636486,0.792308087136755,0.68,"median","qi","SG115","Pecten complanatus",7,"strict","May"
6,0.449805694,0.439328058,0.46698278,-0.209456907,-0.339692197,0.201079317,0.588765336,0.576579218,0.600951454,28.6774970200793,23.8390687152877,34.2585066583924,2.28945402912995,0.838849548344897,3.24729786673303,0.68,"median","qi","SG115","Pecten complanatus",4,"strict","June"
7,0.455275771,0.275682404,1.441741511,0.875405026,0.85995203,0.970431576,0.641339649,0.619981315,0.647631683,11.7947606483412,9.47151172444596,18.7594447516032,-0.954599505903937,-1.51683929512869,0.745713809866645,0.68,"median","qi","SG115","Pecten complanatus",9,"strict","July"
8,0.418337876,0.14124577,0.961363688,0.918565983,0.584152423,1.052677103,0.553751405,0.553751405,0.553751405,41.250078840941,40.0047696974632,42.6271889656521,5.88739905958174,5.55139428999676,6.2258782288008,0.68,"median","qi","SG115","Pecten complanatus",1,"strict","August"
9,-0.3960089195,-1.11299755,0.320979711,-0.3240159885,-2.046731541,1.398699564,0.713763472,0.713763472,0.713763472,-7.17672428292724,-8.01517101182307,-6.37581970059005,-6.65344899954724,-8.25579196064085,-6.39199775072809,0.68,"median","qi","SG115","Pecten complanatus",1,"strict","September"
10,0.942900607,0.407812387,1.477988827,0.903341242,0.531171877,1.275510607,0.6227613005,0.605483153,0.640039448,17.3417276035962,12.2820776961352,22.6304027799175,0.352587233612037,-1.18540008241586,1.94334534891648,0.68,"median","qi","SG115","Pecten complanatus",2,"strict","October"
11,1.553331483,1.534259469,1.624387099,0.654869263,0.479948051,0.749901583,0.616498958,0.59782851,0.6305150005,19.3390131773694,14.9503267964129,25.1296996745028,0.508237508208028,-0.505115667249377,1.82514319232264,0.68,"median","qi","SG115","Pecten complanatus",9,"strict","November"
12,1.548247282,1.4070877485,1.643206956,0.311105877,0.1708680335,0.3949300675,0.611778512,0.599763733,0.616383877,21.009371640169,18.9622500476545,24.4580598385481,0.648885095457258,0.101472413480367,1.57647127670238,0.68,"median","qi","SG115","Pecten complanatus",14,"strict","December"
1,1.3933650625,0.8535004065,1.8541022685,0.237687918,-0.082793119,2.6396204455,0.625711237,0.602544905,0.6587068875,16.495132253517,6.43050345080389,24.3071702758278,-0.336553352053036,-2.43926867827384,2.26591370890629,0.95,"median","qi","SG115","Pecten complanatus",9,"strict","January"
2,0.6472881755,0.2720279305,1.6263862175,0.9328533235,-0.372327796,1.6621288015,0.633986404,0.547466294,0.717993906,13.901241949464,-7.90876768665711,43.3143126809233,-0.357787880391994,-6.43836301242782,6.04977177524705,0.95,"median","qi","SG115","Pecten complanatus",5,"strict","February"
3,0.703210829,0.433491653,0.973970164,0.282116274,-0.251427047,1.200980095,0.6197369825,0.581187149,0.665905785,18.262470659759,4.70451222733864,31.3653050224137,-0.0251849383478118,-2.78737984482967,2.93045300141496,0.95,"median","qi","SG115","Pecten complanatus",6,"strict","March"
4,0.55963575,0.456570904,0.691367624,-0.129329287,-0.220637932,0.159440161,0.632713281,0.604702326,0.649948356,14.5843919003786,9.48479252886754,23.6898412389122,-1.23590621583438,-2.33738526709115,0.887098169932525,0.95,"median","qi","SG115","Pecten complanatus",17,"strict","April"
5,0.546734083,0.482538718,0.843648432,0.337814602,0.267659895,0.568615413,0.622890321,0.602377632,0.631469006,17.307545513529,14.4038030877981,24.381518396189,-0.224530666194721,-0.912243444895121,1.44525869061231,0.95,"median","qi","SG115","Pecten complanatus",7,"strict","May"
6,0.449805694,0.315644062,2.146731031,-0.209456907,-2.578665341,1.538988522,0.588765336,0.557312201,0.604226807,28.6774970200793,22.8965522419386,40.6398828586017,2.28945402912995,-1.54463489771744,4.61086672175287,0.95,"median","qi","SG115","Pecten complanatus",4,"strict","June"
7,0.455275771,0.259130973,1.91076355,0.875405026,0.126306999,1.279045212,0.641339649,0.58918786,0.662848952,11.7947606483412,5.66878066162575,28.5190512204907,-0.954599505903937,-2.38819911693045,3.00930164843158,0.95,"median","qi","SG115","Pecten complanatus",9,"strict","July"
8,0.418337876,0.14124577,0.961363688,0.918565983,0.584152423,1.052677103,0.553751405,0.553751405,0.553751405,41.250078840941,38.9076352567243,44.0768792297829,5.88739905958174,5.22161206185289,6.57209581699303,0.95,"median","qi","SG115","Pecten complanatus",1,"strict","August"
9,-0.3960089195,-1.11299755,0.320979711,-0.3240159885,-2.046731541,1.398699564,0.713763472,0.713763472,0.713763472,-7.17672428292724,-8.88356515521312,-5.61691983848383,-6.65344899954724,-8.52963637577086,-6.19845526557482,0.95,"median","qi","SG115","Pecten complanatus",1,"strict","September"
10,0.942900607,0.407812387,1.477988827,0.903341242,0.531171877,1.275510607,0.6227613005,0.605483153,0.640039448,17.3417276035962,11.7763501984718,23.4679309389193,0.352587233612037,-1.30192715561018,2.13632418739614,0.95,"median","qi","SG115","Pecten complanatus",2,"strict","October"
11,1.553331483,1.437171587,1.646328553,0.654869263,0.213482919,0.873407302,0.616498958,0.572993305,0.6495436235,19.3390131773694,9.12397902743463,34.9013242659222,0.508237508208028,-1.69806615971817,4.11371679737853,0.95,"median","qi","SG115","Pecten complanatus",9,"strict","November"
12,1.548247282,1.1886669505,1.744163937,0.311105877,0.035564799,1.092955065,0.611778512,0.578995125,0.624361971,21.009371640169,16.9133258002343,31.4869499990978,0.648885095457258,-0.365250256856595,3.05217403667396,0.95,"median","qi","SG115","Pecten complanatus",14,"strict","December"
8,1.893977239,1.854950266,1.974798922,2.266649587,2.156054081,2.547978056,0.563911111,0.560739144,0.567083078,37.3590310973572,35.8281763624942,38.9883061621974,6.34376473802679,5.94704657014368,6.86382206414022,0.68,"median","qi","SG116","Glycymeris radiolyrata",2,"strict","August"
9,2.031743403,2.01242378,2.032957028,1.694055695,1.316594613,1.802901977,0.6448287825,0.611329651,0.653205112,10.7976559252645,8.53842082793311,20.6364712716604,-0.350182076718801,-0.884296636408185,1.53712222539234,0.68,"median","qi","SG116","Glycymeris radiolyrata",8,"strict","September"
10,2.092702684,1.923922759,2.145342093,1.572053126,1.384652899,1.805205839,0.628328837,0.621907218,0.646791985,15.4822612383031,10.0858979991629,18.0508227745755,0.599321596401226,-0.62564092365237,1.30504480224103,0.68,"median","qi","SG116","Glycymeris radiolyrata",12,"strict","October"
11,2.062169841,2.04504365,2.10208456,1.364755479,1.189163373,1.387536881,0.587538316,0.577159079,0.626314706,28.675236893881,16.517360605203,32.2152809664016,3.36021611135569,0.627917860357326,4.1552085370559,0.68,"median","qi","SG116","Glycymeris radiolyrata",8,"strict","November"
